,de,ch_dialect
21074,Eine weitere Philosophie der Rot-Weißen ist das direkte Weiterspielen des Balles.,En witeri Philosophie vane Rot-Wissu isch z'diräkti Witerspielu vaner Balla.
29159,Nationalen Kongress in Bern auf die gesamte deutschsprachige Schweiz ausgeweitet.,E Nationale Kongress en Bärn uf di ganz dütschschwiiz usgwiitet.
27496,"Hier logiert der Brite John Tyndall, ein Pionier der Klima- und Gletscherforschung.","Di logiert de Ängländer John Tyndall, e Pionier fode Klima- ond Glätscherforschig."
13502,"Es bezeichnet ein Wesen, das mit dem einen Bein fest im realen Leben, mit dem anderen aber in der mystischen Welt steht.","Es bezeichnet es Wesa, wo mit einem Bei fest im reala Leba, mitem andera aber in dr mystischa Welt stoht."
14441,In der Schweiz ist die Gamingbranche nach wie vor ergiebig.,In dr Schwiz isch d Gamingbrancha noch wia vor ergiebig.
1787,Ich gewinne dieses Spiel gerade.,I gwünn da Spiel gad.
28450,Insgesamt 2300 Studierende sind an der Fernfachhochschule Schweiz eingeschrieben.,Insgesammt 2300 Studierendi send ade Färnfachhochschuel Schwiiz igschrebe.
13198,Bleiben Sie als Profi hier oder geht es noch weiter?,Blieben Sie als Profi do oder gohts no witer?
30567,"Er erlernte nie das Sprechen, lachte nie und zeigte absolute sexuelle und finanzielle Gleichgültigkeit.","Är hed nie glehrt rede, hed nie glacht ond hed en absoluti sexuelli ond finanzielli Glichgöltigkeit zeigt."
14447,"Man weiss, dass es sehr viel kostet, die Technologien schnell zu verändern.","Ma weiss, dass es sehr viel kostet, dia Technologia schnell z verändera."
16463,Damals lag die Partei erst in sechs Gemeinden auf dem ersten Platz.,Dazumal isch d Partei erst i sächs Gmeinde ufem erste Platz gsi.
20335,"Erwärmt getrunken, soll es auch ein Mittel gegen den Durchfall gewesen sein.","Erwermt gitrüchu, solls öi es Mittel gägu de Durchfall gsi sii."
29882,Unter dem kleinen verchromten Waschbecken in der Ecke fand er Alkohol.,Onderem chline verchromte Lavabo em Egge heder Alkohol gfonde.
18006,Denn im Moment müssen die Lernenden im Unterwallis an bis zu zwei Tagen pro Woche zur Schule.,Will momentan münd d Lerhrling im Unterwallis a bis zu zwei Täg pro Wuche id Schuel.
612,Das Interview führte Roger Steinemann.,sInterview het de Roger Steinemann gführt.
9795,Sie brannte 675 nieder und wurde bereits wenige Jahre später in Holz neu errichtet.,Sie isch 675 niederbrennt und isch schu wenigi Johr spöter in Holz neu errichtet worda.
11663,Wir müssen am Ball bleiben und der GEF den Rücken stärken.,Miar müan am Ball blieba und dr GEF dr Rucka stärka.
16152,Gerade im Frühling mit intensiver Sonneneinstrahlung besteht erhöhtes Lawinenrisiko.,Gad im Früelig mit intensive Sunneistrahlig gits es erhöhts Lawinerisiko.
9117,"Um deren Klappen nicht zu schwerfällig zu machen, falten sie sich beim Aufrichten zusammen.","Zum dera Klappa nit schwerfällig z macha, falten sie sich bim Ufrichta zemma."
18831,"Er wird einerseits auf die Kopfbedeckung der Fischer, andererseits auf den «Herzogshut» zurückgeführt.","Er wird einersits ufd Chopfbedeckig vomne Fischer, anderersits uf de ""Herzogshuet"" zurggfüert."
18077,Sie lernten alle fleissig und gingen nie weg.,Si händ alli flissig glernt und sind nie weg gange.
3591,"«Die Priorität ist nun, Tests direkt im Tessin durchzuführen.» Wir wollen auch die bestehende Hotline verstärken, sagt Strupler.","""D Priorität isch iz, Teschts diräkt im Tessin düräzfüehrä"". Mir wei o die beschtehendi Hotline verschterchä, seit dr Strupler."
9514,"Die Kosten werden von Bund, Kanton und Gemeinde getragen.","D Kösta werden vu Bund, Kanton und Gmeind treit."
26710,Nur 10 Monate nach der Eröffnung seines grössten Meisterwerks starb der Ingenieur im Alter von 86 Jahren.,Nor 10 Mönet nach de Eröffnig fo sim gröschte Meischterwärch esch de Ingenieur em ALter fo 86 gstorbe.
23800,Franz Bernhards Vater war Bäckermeister und Landwirt im Böhmerwald.,Em Franz Berhard si Vater isch Bäcker und Landwirt in Böhmerwald gseh.
8192,"Nur verstand sie nicht, warum.","Nur het sie nit verstanda, warum."
30645,"Es klang, als hätte ich die ganze Nacht Zigarren geraucht.","Es hed tönt, als hätt ech di ganz Nacht Zigarre graucht."
5704,"Wer Hypatia tötete, tötete daher nicht nur einen Menschen, sondern statuierte ein Exempel an einer alten, aber fortschrittlichen Kultur.","We Hypatia tötet het, het also nit nur an Mensch tötet, sondern as Exempel anera alta, aber fortschrittlicha Kultur statuiart."
27583,"Es gibt verschiedene Gründe, weshalb jemand in Administrativhaft kommen kann.",Es geht verschednigi Grönd werom öpper e Administrativhaft muess.
25446,Ching Ping verstand jedes Wort.,Dr Ching Ping het jedes Wort verstande.
28925,Auch zahlreiche Blindgänger stecken noch tief in dem Moor.,Au zahlriichi Blendgänger stecked no tüüf em Moor enne.
252,Diese könnten Computer und ähnliche Technologien um einen Faktor Tausend energieeffizienter machen.,Die chönted Computer und ähnlichi Technologie um en Faktor tuusig energieeffizienter mache.
15550,"Ideen wären vorhanden, dies hat eine gemeinsame Debatte von Vertretern aus Wirtschaft und Politik gezeigt.","Ideea wären vorhanda, das het a gmeinsami Debatta vu Vertreter us Wirtschaft und Politik zeigt."
8679,"Als er ein kleines Kind war, zog seine Familie nach Charles City in Iowa.","Wo er es kliises Kind gsi isch, isch sini Familia noch Charles City Iowa zoga."
30452,"Aufgrund dieses Interessenkonflikts beschuldigen sie mich, interne Polizeiakten zugunsten seiner Mandanten verwendet zu haben.","Wäge dem Interässenskonflekt bescholdiged sie mech, interni Polizeiakte zo Gonste vo mim Mandant brucht zha."
22301,Kämpfende Jugend erschreckt nicht der Tod.,Di kämpfund Jugend erchlipft nit der Tod.
10789,Doch ich kehre wieder zu meinem Tagebuch zurück.,Aber i kehra wieder zu minem Tagebuach zruck.
4046,"Ein bestimmter Kreis von Haitianern wirft den USA vor, sich in die Politik einzumischen und die korrupte Elite weiterhin zu stützen.","Ä bschtimmtä Kreis vo Haitianer wirft dr USA vor, sich id Politik iizmischä und die korrupti Elitä witerhin z schützä."
28765,"Werner Salzmann ist gelernter Landwirt, seit 2007 ist er bei der Steuerverwaltung des Kantons Bern Chefexperte Landwirtschaft.","De Werner Salzmann esch glehrte Landwert, set 2007 escher bede Stürverwaltig vom Kanton Bärn Chefexpert Landwertschaft."
8836,"Die Entwicklung dauert nur einige Tage, der Regenwurm geht danach zugrunde.","D Entwicklig durt nur as paar Täg, dr Regawurm goht drnoch zgrund."
11337,Riveras Karriere in der Nationalmannschaft war geprägt vom Duell um die Rolle des Spielmachers.,Am Rivera sini Karriera in dr Nationalmannschaft isch prägt gsi vum Duell um d Rolla vum Spielmacher.
23659,Allein am vergangenen Sonntag haben mehr als eine halbe Million Menschen die Zoom-Smartphone-App heruntergeladen.,Ellei am vergangene Sunntig händ mehr als e halbi Million Mensche d Zoom-Smartphone-App abeglade.
5719,Also drei Grad mehr als heute.,Also drei Grad meh als hüt.
5967,Auch seine Blätter werden als Gemüse verwendet.,Au sini Blätter werden als Gmüas verwendet.
13112,Noah Okafor könnte mindestens zu einem Teileinsatz kommen.,Dr Noah Okafor könnt mindestens zunem Teilisatz koh.
11147,"Ich bebte vor dem Gedanken zurück, so viel Blut zu vergießen, wenn es auch für meine Rettung geschähe.","I bin vor am Gedanka zruckbebt, so viel Bluat z vergüssa, wenns au für mini Rettig passiart wär."
10344,"Christoph sagt von sich selber, dass er ehrlich und geschwätzig sei.","Dr Christoph seit vu sich selber, dass er ehrlich und gschwätzig sig."
13590,Dann musste die Klasse Schützengräben ausheben helfen.,Denn het d Klass müassa Schützagräba usheba helfa.
9941,Ein Schelm ist in der letzten Bedeutung des Wortes ein Dummkopf oder auch dessen Scharfrichter.,An Schelm isch in dr letschta Bedütig vum Wort an Dummkopf oder au dessa Scharfrichter.
28037,Wir haben uns einfach beeilt.,Mer händ eifach pressiert.
23310,"Futter pflanzt er selbst an, sein Hof ist ziemlich gross nach bulgarischen Massstäben.","Fueter pflanzt är sälber ah, si Hof isch zimlich gross noch bulgarische Massstäb."
17431,"Fühlt man sich in diesen Tagen als «älterer, linker Politiker» etwas an den Rand gedrängt?","Fühlt mer sich i däne Täg als ""eltere, lingge Politiker"" chli an Rand drängt?"
3180,Unmittelbar nach dem Beginn der nationalsozialistischen Herrschaft wurde Ferkel verhaftet.,Unmittubar nachdem Aafang vor nationalsozialistischä Herrschaft isch dr Ferkel verhaftet wordä.
11459,Die kreuzförmige Basilika besaß je eine Apsis im Osten und Westen sowie eine 16 m lange Ostkrypta.,Dia krüzförmig Basilika het je ei Apsis im Osta und Westa sowia a 16 Meter langi Ostkrypta besessa.
17057,In den höheren Alpentälern wird es etwas frischer.,I de höchere Alpetäler wirds chli frischer.
10072,Payne und Laurence sind seit 1986 Mitglied der Gruppe The Former Ladies Of The Supremes und touren mit den Songs der Gruppe um die Welt.,Dr Payne und d Laurence sind sit 1986 Mitglied vur Gruppa The Former Ladies of The Supremes und touren mit da Songs vur Gruppa um d Welt.
16030,Tausende Nigerianerinnen landen jedes Jahr in der Prostitution im Ausland.,Tusigi Nigerianerinne landed jedes Jahr ide Prostitution im Usland.
14344,Das habe die Geschichte Europas hinlänglich gezeigt.,Das heg d Gschicht vu Europa hilänglich zeigt.
18555,Fast verlor ich das Gleichgewicht.,Fast hani s Glichgwicht verlore.
8758,Nach einem erholsamen Wochenende begann er seine Arbeit am Montag.,Noch nem erholsama Wuchanend het er sini Arbet am Mentig agfanga.
2081,Unter den Naturwissenschaftlern ist die neue Professur höchst umstritten.,Under de Naturwüsseschaftler isch di neu Professur höchscht umstritte.
26795,"Einige Restaurants in polnischen Städten akzeptieren kein Bargeld mehr, nur noch Kreditkarten.","Es paar Restaurant e polnische Städt akzeptiere kei Bargäld meh, nomeno Kredtcharte."
27828,Die Junioren auf dem Fussballplatz fielen dauernd hin.,D'Juniore ofem Fuessballplatz send die ganzi Zit omgheit.
28572,"Weltmeister wurde Brasilien im Finale gegen Italien, wobei erstmals ein Elfmeterschießen die Entscheidung brachte.","Wältmeister esch Brasilie em Final gäge Italie worde, wo s erste Mol es Penaltyschiesse d Entscheidig brocht hed."
13084,"Man habe aber weiter ein Auge auf das Thema, sagt eine Sprecherin.","Ma heg aber witer as Aug uf ds Thema, seit a Sprecherin."
18107,Noch nie hat ihn jemand so laut angeschrien.,No nie hät ihn öper so lut ahgschroue.
22221,Plötzlich wird sie im dunkeln von einer Taschenlampe angeleuchtet.,Pletzli wird schi im Dunklu vanera Täschulampa ahglüchtut.
30552,Die meisten Szenen und Dialoge wurden improvisiert.,Di meiste Szene ond Dialög send improvisiert worde.
9109,Vic Nees war regelmäßig Jurymitglied bei internationalen Chorwettbewerben und Berater der Europäischen Föderation Junger Chöre.,Dr Vic Nees isch regelmässig Jurymitglied bi internationala Chorwettbewerb gsi und Beroter vur Europäischa Föderation vu Junga Chör.
8081,Briony hätte ihren Kaffee beinah auf den Boden gespuckt.,D Briony hetti ihra Kafi fast uf da Boda gspuckt.
16958,Im weiteren wird die Bedeutung in der Bundesrepublik Deutschland dargestellt.,Im Witere wird d Bedütig vode Bundesrepublik Dütschland dargstellt.
17189,Als Kind habe ich die «Kummerbuben-Serie» gesehen bei den Nachbarn.,"Als Chind hani d ""Chummerbuebe-Serie"" bide Nachbere glueged."
6544,"Es werden Baumwolle, Getreide, Wein und Obst angebaut sowie Viehzucht betrieben.","Es werden Baumwulla, Getreide, Wii und Obst aabaut sowia Viehzucht betrieba."
17312,"Diese Entscheidung der USA sei ein politisches und moralisches Armutszeugnis, schrieb Ruhani auf seinem Webportal.","Die Entscheidig vode USA segi es politischs und moralischs Armuetszügnis, hät de Ruhani uf sim Webportal gschribe."
16725,"Und die Wirkung, die der schiere Glaube einem eigentlich nutzlosen Placebo verleiht, weckt Erwartungen.","Und d Wirkig, wo nur de Glaube emne eigentlich nutzlose Placebo verleiht, weckt Erwartige."
20675,Das exotische Reptil ist dort auf jeden Fall in bester Gesellschaft.,Z'exotischi Reptil isch da uf jedu Fall in beschter Gsellschaft.
3102,Als Frau musste sie sich die Möglichkeit einer Habilitation erkämpfen.,Aus Frou hetsi sech d Müglechkeit vorä Habilitation müesse erkämpfä.
20045,Er hört den Lehrern im Unterricht nie zu.,Är losut de Lehrer im Unerricht nie züe.
22127,"Luzern, Obwalden, Zug, Schwyz und Uri liegen ebenfalls weit vorne.","Luzäru, Obwaldu, Zug, Schwyz und Uri liggunt äbufalls wit vorna."
27392,"Die Exporte in die USA steigen ständig, die Handelsbarrieren sind eigentlich recht minimal.","D'Export ed USA stiege ständig, d'Handelsbarriere send eigentlech recht minimal."
9783,Juli 2007 trat er in Hamburg bei Al Gores Live Earth auf.,Juli 2007 isch er in Hamburg bi Al Gores Live Earth uftretta.
2684,ich traf meinen Gegner am Kinn.,I ha min Gegner am Chüni troffe.
2822,"Zum Teufel, dachte ich verbittert, dann betrinke ich mich eben.","Zum Tüüfu, hani verbitteret dänkt, de betrinki mi haut."
16564,"«Ach, wie war ich erschrocken, wie war es dunkel in dem Wolf seinem Leib!», sagte das Rotkäppchen.","""Phu, wie bini verschrocke, wi dunkel s gsi isch im Wolf sim Buch!"", hät s Rotchäppli gseit."
21727,"Er wühlte weiter, jetzt fieberhaft.","Är het witer gwiehlt, jetz fieberhaft."
15976,In der Schule bestach er nicht durch herausragende Leistungen.,Ide Schuel hät er nöd dur useragendi Leistige überzügt.
28689,Das Gefieder war allgemein stumpf schwarz.,D Fädere send allgemein stopmf schwarz gsi.
21671,Werden die Rennen im TV gezeigt?,Wärdunt d'Rännu im TV gizeigt?
5193,Nicky rollte sich auf die Seite.,D Nicky hetsech ufd Sitä grout.
15834,"Ein besseres vielleicht als in der Schweiz, mit einer kranken Mutter, die von der Sozialhilfe lebt.","As besseres viellicht als in dr Schwiz, mit nera Kranka Muatter, wo vour Sozialhilf lebt."
25011,Eislaufen ist in Lemmer Volkssport.,Iislaufe isch in Lemmer Volkssport.
10041,Ab 1975 spielte er zusammen mit Nina Hagen in Fritzens Dampferband und erzielte 1979 seine ersten Erfolge als Solist.,Ab 1975 het er zemma mir dr Nina Hagen in Fritzens Dampferband gspielt und het 1979 sini ersta Erfolg als Solist erzielt.
28428,Ich sage du wirst für sie gekehrt haben.,"Ech säge, dass du för sie gwöscht hesch."
15508,Bundesrat Ueli Maurer hält das Rahmenabkommen derzeit nicht für mehrheitsfähig.,Dr Bundesrot Ueli Maurer haltet ds Rahmanabkomma derziit nit für mehrheitsfähig.
29630,"Wenn Daimler-Chef Dieter Zetsche im Mai in Pension geht, erhält er pro Tag eine Rekordrente von 4250 Euro.","Wenn de Daimler-Chef Zetsche em Mai en Pension goht, chonder pro Tag en Rekordränte vo 4250 Euro öber."
28697,"Er war mit Maria von Mosengeil, Tochter von Karl von Mosengeil, verheiratet.","Är esch met de Maria von Mosengeil, de Tochter vom Karl von Mosengeil, verhürotet gsi."
8013,"Ich schrumpfe immer weiter, dachte er, während er mit seiner neuen Beute um die Ecke eilte.","I bin immer wiiter gschrumpft, hetter denkt, während er mit sinera neua Büti und Ecka pressiart het."
13920,"Mit dem Finanzausgleich soll ein Steuerstreit unter den Kantonen vermieden werden, ohne den Wettbewerb ganz zum Ersticken zu bringen.","Mitem Finanzusglich söll a Stüürstritt unter da Kantön vermieda werda, ohni dr Wettbewerb ganz zum Ersticka z bringa."
25373,Aber nach was hat sie gesucht?,Aber noch was het si gsuecht?
30759,An diesem Abend betrank ich mich sinnlos.,A dem Obig hanech mech sennlos betronke.
3915,Im Norden bringt ein Tiefdruckgebiet schlechtes Wetter.,Im Nordä bringt es Tiefdruckgebiet schlächts Wätter.
3032,Besonders bedeutend ist dies bei reinem Weißbrot und Brötchen.,Bsunders bedütend isch das bi reinem Wiisbrot und Weggli.
22186,Insbesondere in der Deutschschweiz haben wir zu wenig Plätze für ausländische Fahrende.,Insbsundra iner Ditschschwiz hei wer vill z'wenig Plätz fer üsländischi Fahrendi.
12886,Biographisches Handbuch für das gesamte Filmwesen.,Biographischs Handbuach für ds gsamta Filmwesa.
9165,"Als Kaplan und Rektor bei den Ursulinen untergekommen, beschäftigte er sich mit der religiösen Erneuerung in Wien.","Wo dr Kaplan und dr Rektor bi da Ursulina unterkoh sind, het er sich mit dr religiösa Erneuerig in Wien beschäftigt."
2576,Einer von ihnen wurde von seinen Kameraden nach vorne geschubst.,Eine vo ihne isch vo sine Kamerade füre gschubst worde.
13561,"Beide kommen aus dem Aargau, sind aber nicht miteinander verwandt.","Beidi kömmen ussem Aargau, sind aber nit mitanand verwandt."
1759,Ich hätte Geld zusammengekratzt.,I het Geld zemmekratzt.
4441,"Ist es nicht, widersprach sie.","Isches nid, hetsi widerschprochä."
7278,Leichter Regen­schauer und windig.,Liichta Regaschauer und windig.
20451,In den folgenden Jahren kam es zu mehrfachen Plünderungen durch französische Truppen.,Ine folgendu Jahri ischs zu mehrfachiePlündrige durch französischi Truppe cho.
527,Hat die Politik in den letzten Jahren diesbezüglich versagt?,Het dPolitik i de letschte Johr diesbezüglich voseit?
1794,Grossteile der Kuppe des einst hohen Berges wurden durch Basaltabbau abgetragen.,Grossteil vo de Kuppe vom einisch höche Berg sind dur Basaltabbau abtreit worde.
21110,"Dabei gelang es ihm, die rebellischen Barone zu spalten und nacheinander zu besiegen.","Derbi is mu glungu, d'rebellisch Barone z'spaltu und nachenand z'besitigu."
24418,Und du machst das Entfärbungsmittel im Waschbecken zurecht.,Du machsch mit Entfärbigsmittel s Lavobo zrächt.
25769,"Grundgedanke dieser Regelung ist, dass damit die Waffengleichheit zwischen den Parteien eher gewahrt bleibt.","Grondgedanke fodere Regelig esch, dass demet d'Waffeglichheit zwösche de Parteie eher gwart werd."
25609,"Später behandelte er auch Cao Cao, der an furchtbaren Kopfschmerzen litt.","Spöter heter au Cao Cao behandlet, wo a forchbarte Chopfschmärze glette het."
13343,Im Zielraum grüsste Neureuther mit einer kurzen Verbeugung und verabschiedete sich mit ein paar Schlücken Champagner.,Im Zielruum het dr Neureuther mit nera kurza Verbügig grüasst und sich mit as paar Schlückli Champagner verabschiedet.
18627,Der siebenköpfigen Basler Regierung gehört der Betriebsökonom seit 2009 an.,De Betriebsökonom ghört sit 2009 zude sibechöpfige Basler Regierig.
4849,Berset warnte vor einem Automatismus.,Dr Berset het voremä Outomatismus gwarnt.
15244,Für viele ihrer Kursbesucherinnen ist der eigene Partner erklärtermassen der wichtigste Faktor einer optimalen Vorbereitung auf die Geburt.,Für vieli vu ihrna Kursbsuacherinna isch dr eigni Partner erklöärtermassa dr wichtigsti Faktor vunara optimala Vorbereitig uf d Geburt.
11053,"Er machte einige Schritte vorwärts, blieb dann stehen, ging wieder einige Schritte und hielt hierauf abermals inne.","Er het einigi Schritt vorwärts gmacht, isch denn stoh blieba, isch wieder einigi Schritt ganga und isch denn abermols inneghalta."
20736,Für ganz grosse Meeressäuger sind diese relativ kleinen Aquarien ganz bestimmt problematisch.,Fer ganz grossi Meeressüger sind die relativ chleinu Aquarie ganz bstimmt problematisch.
17265,"Sechs davon sind vom Führer ernannte Kleriker, sechs vom Parlament gewählte Juristen.","Sächs vo däne sind vom Füerer bestimmti Kleriker, sächs vom Parlamänt gwählti Juriste."
5267,Einer von ihnen wurde von seinen Kameraden nach vorne geschubst.,Eine vo inä isch vo sinä Kollegä nach vorä gmüpft wordä.
15074,"Ärzten in der Schweiz soll es demnach erlaubt werden, den Stoff zu verschreiben.","Ärzt in dr Schwiz sölls demnoch erlaubt weda, dr Stoff z verschrieba."
6699,"Ist der Abdruck aber verschmiert, verzerrt oder nur bruchstückhaft, wird er schwierig zu interpretieren.","Isch dr Abdruck aber verschmiart, verzerrt oder nur bruchstückhaft, wird er schwierig z interpretiara."
22630,"Sie liebte ihn, das hatte er gespürt.","Schi het nu gliebt, das heder gspirt."
25813,Dann ist die Schleife für keinen der beteiligten Betreuer offensichtlich.,Dene esch d'Schleife för keine fode beteiligte Betreuer offesechtlech.
9615,Das sind rund zwei Grad weniger als im August im Mittel erreicht werden.,Das sind rund zwei Grad weniger als im August im Mittel erreicht werden.
27941,"Er atmete schwer, als wäre er bergauf gerannt.","Er het sehr schwer gschnufet, als wäre er de Bärg duruf gsecklet."
24734,Mit etwas Glück publizieren wir Ihr Bild am Ende dieser Woche.,Mit ä bitz Glück publiziere mir Ihr Bild bis Ändi die Wuche.
24376,Austragung wurde England erstmals Cricket-Weltmeister.,Ustragig isch Ängland s erste Mol Cricket-Wältmeister worde.
19708,"Es verfällt dem Italiener und gesteht, dass sein eifersüchtiger Gatte den Brand gelegt hat.","Es verfallt am Italiener und gestaht, dass sin ifersüchtige Ehemah s Für gleit hät."
3081,"Im Ort gibt es ein Hotel, eine Sennerei und einen Dorfladen.","Im Ort gits es Hotel, ä Sennerei und ä Dorfladä."
25968,Er hinterließ seine Frau und ihren gemeinsamen Sohn.,Er het sini Frau ond ere gmeinsam Sohn henterloh.
5724,Sie ist meist bodenständig und zum Teil deftig.,Sie isch meistens Bodaständig und zum Teil deftig.
3437,Der Auenschutzpark entstand durch eine Volksabstimmung 1993.,Dr Ouäschutzpark isch 1993 dürnä Vouksabschtimmig entschtandä.
1420,"Alkohol tötet jährlich drei Millionen Menschen, sagt die WHO – Tabak sogar acht Millionen.","Alkohol tötet jöhrlich drü Millione Mensche, seit dWHO - Tabak sogar acht Millione."
29694,Dabei fehle es dem Staat eigentlich nicht am Geld.,Be dem fählts em Staat eigentlech ned am Gäld.
5368,In den Straßen wurde getanzt.,Ide Schtrassä isch tanzt wordä.
15152,"Im Vergleich zu 2002 gibt es heute auch weniger Schulkinder, die rauchen oder Alkohol trinken.","Im Verglich zu 2002 gits au hüt weniger Schualkinder, wo rauchen oder Alkohol trinken."
27037,Politische Erfolge der Bauern wie dieser haben aber auch viel mit der Person Markus Ritter zu tun.,"Politische Erolg fode Bure wie de, händ aber auvell met de Person Markus Ritter z'tue."
21908,In der Schweiz funktioniert diese Kette sehr gut.,Iner Schwiz funktioniert die Chetti sehr güet.
26277,"Und die Wirkung, die der schiere Glaube einem eigentlich nutzlosen Placebo verleiht, weckt Erwartungen.","Ond d'Wörkig, wo de schieri Glaube emene eigentlech notzlose Placebo verleiht, weckt Erwartige."
8684,Ein Mann arbeitet im Büro und isst nebenbei ein paar Kleinigkeiten.,An Maa schafft im Büro und isst nebabii as paar Klinigkeita.
13091,Zudem sorgt die Befahrung von Schutzwällen und Brücken für genügend Höhenmeter.,Zudem sorgt d Befahrig vu Schutzwäll und Brucka für gnuag Höhameter.
3851,"So wird sichergestellt, dass das Stromnetz oder der Umrichter annähernd nur Wirkleistung bereitstellen muss.","So wird sichergschteut, dass s Schtromnetz oder dr Umrichter annähernd numä mues Wirkschtellig bereitschteuä."
14584,Eine Motion verlangt das obligatorische Chippen aller Katzen.,A Motion verlangt ds obligatorischa Chippa vu allna Katza.
9758,Meine Grossmutter hat Angst vor Katzen.,Mis Nani het Angst vor Katza.
26793,Laut Berichten der UNO haben viele Menschen kaum genug zum Überleben.,Lut Brecht fode UNO händ velli Mönsche chum no gnueg zom Öberläbe.
25177,Mit Vollgas rasten wir davon.,Mit Vollgas sind si devo grast.
15487,Im zweiten Halbjahr habe sich die Konjunktur hierzulande wie international dann aber spürbar abgeschwächt.,Im zweita Halbjohr heg sich d Konjunktur do wia international denn aber spürbar abgschwächt.
20628,Das Mädchen sah eine schöne Blume nach der Anderen und so kam es immer weiter vom Weg ab und ging immer tiefer in den Wald.,Z'Meitji het ei schöni Blüema nah der andra gseh und so is immer witer vam Wäg abcho und isch immer teifer ine Wald gangu.
1517,Ist das realistisch?,Isch da realistisch?
2831,Das jüngste Ereignis belastet ihn unnötig.,S jüngschtä Ereignis belaschtetnä unnötig.
20151,Bilden diese beiden Kammern die Schweizer Bevölkerung genügend ab?,Bildunt dischi beidu Chammre d'Schwizer Bevölkrig gnüegend ab?
14054,"Veloschnellrouten, Velowege im Zentrum, hier gibt es diverse Pläne.","Veloschnellrouta, Veloweg im Zentrum, do gits diversi Plän."
21813,Es bleibt warm mit 22 Grad in Freiburg und 24 Grad in Brig.,Es bliebt warm mit 22 Grad z'Freiburg und 24 Grad z'Brig.
5599,"Die Leitung erklärte, trotzdem weiterhin an ihm als Sportchef festhalten zu wollen.","D Leitig het erklärt, trotzdem wiiterhin an ihm als Sportchef festheba z wella."
28735,"Der Frauenanteil ist bescheiden, nur gut ein Viertel der Teilnehmenden ist weiblich.","De Fraueateil esch bescheide, nor guet en Viertel vode Teilnähmende esch wiiblech."
18968,Aber es macht einen nicht unbedingt glücklich.,Aber es macht eim nöd unbedingt glücklich.
10199,B. eine Netzwerkkarte oder eine Bridge zu einem weiteren Protokoll sein.,B. a Netzwerkkarta oder a Bridge zunem witera Protokoll sii.
19921,Die lineare Optimierung wird heute in sehr vielen Bereichen zur Lösung praktischer Probleme eingesetzt.,Di lineari Optimierig wird hüt i sehr ville Bereich fürd Lösig vo praktische Problem brucht.
830,Nach einer Studie investieren arme Familien drei- bis fünfmal so viel in Zigaretten wie in die Bildung ihrer Kinder.,Nochere Studie investiered armi Familie drü bis füfmol so viel i Zigarette wie id Bildig vo ihre chind.
26024,"Es wäre auch nicht optimal, wenn die FDP-Bundesrätin Karin Keller-Sutter angegriffen würde.","Es wäri auned optimal, wenn d'FDP-Bondesrötin Kathrin Keller Sutter agreffe wärde wörd."
22318,Er fettete die Türklinke so das sie nicht mehr quitsche.,"Är het zGintschett/der Tirihebel/Griff vaner Porta so gfettut, dasch nimme quitscht."
25476,"Dass England an dieser WM um den Titel kämpft, ist für ihn aber mehr als verdient.",Dass England adere WM ome Titel kämpft esch för en aber meh als verdient.
20245,Diese benötigen viel Strom.,Das brüche vill Strom.
21585,Erstmals seit der Saison 1987/88 gehen wieder alle 4 Speed-Kristallkugeln in die Schweiz.,Z'erschti Mal sit der Saison 1987/88 gähnt wieder alli 4 Speed-Krischtallchugle ind Schwiz.
6639,Trocken bleibt auch über das Wochenende mit Höchsttemperaturen von bis zu achtundzanzig Grad.,Trocha bliibts au über ds Wuchanend mit Höchsttemperatura vu achtazwanzig Grad.
14186,Ausserdem werden die Aufnahmen nach 24 Stunden gelöscht.,Usserdem werden d Ufnahma noch 24 Stunda glöscht.
5078,Nachdem der Junge hingefallen war weinte er in ohrenbetäubender Lautstärke durch den Zug.,"Nachdäm dr Bueb isch umgheit, heter i ohräbetöibender Lutschterchi dürä Zug grännet."
28638,"Das polnische Wort bedeutet: ""Fetzen, Lumpen"".","S polnische Wort bedüteté ""Fätze, Lompe"""
2064,Die Philanthropie ist ein bisschen auch ein Statussymbol.,dPhilantropie isch e bizeli au es Statussymbol.
23865,Der Montag dann in den meisten Regionen der Schweiz sonnig.,Dr Mentig denn in de meiste Regione vo dr Schwiiz sunnig.
20044,Mit der Elektrifizierung des Haushalts wurde auch das Bügeleisen elektrisch beheizt.,Mit der Elektrifizierig vam Hüüshalt isch öi zGlettiisu elektrisch beheizt wordu.
29880,Und du machst das Entfärbungsmittel im Waschbecken zurecht.,Ond du machschs Entfärbigsmettel em Lavabo parat.
30506,"Während der Gefangenschaft spielte er regelmäßig Fußball, aber nur auf Sand.","Währed de Gfangeschaft heder regelmässig Fuessball gspellt, das aber nor uf Sand."
5721,"Der Sonnenwind – der stetige Strom geladener Teilchen, den die Sonne ins All entlässt – wird in solchen Fällen zu einem Sonnensturm.","Dr Sunnawind – dr stetigi Strom vu gladena Teili, wo d Sunna ins All entloht – wird in söttigna Fäll zu nem Sonnasturm."
17674,Die verbleibenden zehn Finsternisse verlaufen partiell mit abnehmender Grösse.,Di verblibende zäh Finsterniss verlaufed partiell mit abnehmender Grössi.
